Id,Group,Day,SurvivalPup
1,0,6.2,83
2,0,6.454546,92
3,0,6.2,83
4,0,6,92
5,0,6,83
6,0,6.2,92
7,0,6,100
8,0,6,92
9,0,6,100
10,0,7,92
11,0,6,92
12,0,6,100
13,0,6,100
14,0,6,100
15,0,6,100
16,0,6,100
17,0,6,100
18,0,6,92
19,0,6,100
20,0,6,92
21,0,6,83
22,0,6,100
23,0,6,100
24,0,6.272728,83
25,0,6.083334,100
26,0,6.166667,92
27,0,6.166667,100
28,0,6.090909,100
29,0,6,100
30,0,6.083334,92
31,0,6.083334,100
32,0,6,100
33,0,6.166667,100
34,0,6,92
35,0,6,100
36,0,6,100
37,0,6.090909,92
38,0,6.416667,92
39,0,6.27,92
40,0,6.9,100
41,0,6,92
42,0,6.090909,100
43,0,6,83
44,0,6,100
45,0,6,92
46,0,6,100
47,0,6,92
48,0,6,83
49,0,6,100
50,0,6,100
51,0,6,100
52,0,6,83
53,0,6.5,83
54,0,6,83
55,0,6,83
56,0,6,83
57,0,6,98
58,3,6.1,92
59,3,6,83
60,3,6.1,75
61,3,6,67
62,3,6.375,67
63,3,6.363637,100
64,3,6.083334,100
65,3,6,100
66,3,6,100
67,3,6.166667,100
68,3,6.083334,92
69,3,6.090909,100
70,3,6,100
71,3,6.083334,75
72,3,6,18
73,3,6,85
74,3,6.36,17
75,3,6,17
76,6,8.142858,33
77,6,7.875,42
78,6,6,92
79,6,7,33
80,6,8.181818,100
81,6,7,75
82,6,7,75
83,6,7.777778,58
84,6,8.888889,92
85,6,6.571429,75
86,6,6.909091,75
87,6,6.777778,92
88,6,6.555555,83
89,6,6.363637,92
90,6,6.4,92
91,6,6.272728,92
92,6,6.2,100
93,6,6.545455,75
94,6,6.583334,58
95,6,6.777778,50
96,6,6.857143,50
97,6,6.5,67
98,6,6.5,50
99,6,6.625,75
100,6,6.5,75
101,6,6.222222,92
102,9,6.111111,67
103,9,7.454546,50
104,9,7.75,67
105,9,7.857143,92
106,9,7,67
107,9,7.375,8
108,9,7,8
109,9,7,33
110,9,8.2,17
111,9,7,8
112,9,8,25
113,9,9,25
114,9,7.333334,17
115,9,8,25
116,9,7.333334,25
117,9,7.666667,33
118,9,7.25,75
119,9,7.25,33
120,9,7.5,17
121,9,8,8
122,9,7,8
123,9,8,42
124,9,8.5,17
125,9,8,33
126,9,10,8
127,9,7.647059,
